x(degrees),y(eV),Time_TS1(UTC),Time_TS2(UTC),ch_4(ordinal)
-82.2400014745975,99.905,2026-03-02T19:35:36.054Z,2026-03-02T19:35:36.054Z,ROI_03312_1
-81.95743305260117,38.896,2026-03-02T19:35:31.501Z,2026-03-02T19:35:31.501Z,ROI_03312_1
-81.85468089914797,28.666,2026-03-02T19:35:29.846Z,2026-03-02T19:35:29.846Z,ROI_03312_1
-80.72440721116268,24.953,2026-03-02T19:35:11.650Z,2026-03-02T19:35:11.650Z,ROI_03312_1
-79.97945409862693,24.953,2026-03-02T19:34:59.685Z,2026-03-02T19:34:59.685Z,ROI_03312_1
-79.26018902445448,25.655,2026-03-02T19:34:48.142Z,2026-03-02T19:34:48.142Z,ROI_03312_1
-78.4124837584655,24.953,2026-03-02T19:34:34.549Z,2026-03-02T19:34:34.549Z,ROI_03312_1
-78.05285122137927,23.606,2026-03-02T19:34:28.786Z,2026-03-02T19:34:28.786Z,ROI_03312_1
-77.92441102956276,378.41,2026-03-02T19:34:26.728Z,2026-03-02T19:34:26.728Z,ROI_03312_1
-77.71890672265636,2566.7,2026-03-02T19:34:23.434Z,2026-03-02T19:34:23.434Z,ROI_03312_1
-77.66753064592974,378.41,2026-03-02T19:34:22.611Z,2026-03-02T19:34:22.611Z,ROI_03312_1
-76.10056030576833,2173.1,2026-03-02T19:33:57.514Z,2026-03-02T19:33:57.514Z,ROI_03312_1
-75.58679953850229,1789.5,2026-03-02T19:33:49.296Z,2026-03-02T19:33:49.296Z,ROI_03312_1
-74.91891054105643,1646.6,2026-03-02T19:33:38.616Z,2026-03-02T19:33:38.616Z,ROI_03312_1
-74.32808565870049,1515.1,2026-03-02T19:33:29.168Z,2026-03-02T19:33:29.168Z,ROI_03312_1
-73.60882058452803,1318.8,2026-03-02T19:33:17.666Z,2026-03-02T19:33:17.666Z,ROI_03312_1
-73.2491880474418,1180.3,2026-03-02T19:33:11.915Z,2026-03-02T19:33:11.915Z,ROI_03312_1
