x(degrees),y(eV),Time_TS1(UTC),Time_TS2(UTC),ch_4(ordinal)
-82.88564683123516,30.301,2026-03-02T18:00:09.166Z,2026-03-02T18:00:09.166Z,ROI_03311_1
-82.54926165018554,19.439,2026-03-02T18:00:03.764Z,2026-03-02T18:00:03.764Z,ROI_03311_1
-82.00587020387461,16.008,2026-03-02T17:59:55.056Z,2026-03-02T17:59:55.056Z,ROI_03311_1
-81.514230323879,17.886,2026-03-02T17:59:47.177Z,2026-03-02T17:59:47.177Z,ROI_03311_1
-80.97083887756807,24.953,2026-03-02T17:59:38.469Z,2026-03-02T17:59:38.469Z,ROI_03311_1
-80.58270213020312,43.462,2026-03-02T17:59:32.250Z,2026-03-02T17:59:32.250Z,ROI_03311_1
-80.29806851546883,94.513,2026-03-02T17:59:27.694Z,2026-03-02T17:59:27.694Z,ROI_03311_1
-79.85818020178854,223.37,2026-03-02T17:59:20.652Z,2026-03-02T17:59:20.652Z,ROI_03311_1
-79.57354658705425,573.72,2026-03-02T17:59:16.095Z,2026-03-02T17:59:16.095Z,ROI_03311_1
-79.03015514074332,894.32,2026-03-02T17:59:07.396Z,2026-03-02T17:59:07.396Z,ROI_03311_1
-78.6161426102207,1180.3,2026-03-02T17:59:00.769Z,2026-03-02T17:59:00.769Z,ROI_03311_1
-78.35738477864408,1473.6,2026-03-02T17:58:56.626Z,2026-03-02T17:58:56.626Z,ROI_03311_1
-77.73636598286015,1557.7,2026-03-02T17:58:46.685Z,2026-03-02T17:58:46.685Z,ROI_03311_1
-77.11534718707622,1473.6,2026-03-02T17:58:36.743Z,2026-03-02T17:58:36.743Z,ROI_03311_1
-76.4943283912923,1433.3,2026-03-02T17:58:26.809Z,2026-03-02T17:58:26.809Z,ROI_03311_1
-75.61455176393176,1318.8,2026-03-02T17:58:12.733Z,2026-03-02T17:58:12.733Z,ROI_03311_1
-74.76065091972886,1116.6,2026-03-02T17:57:59.069Z,2026-03-02T17:57:59.069Z,ROI_03311_1
-74.03612899131429,999.29,2026-03-02T17:57:47.483Z,2026-03-02T17:57:47.483Z,ROI_03311_1
-73.46686176184569,919.48,2026-03-02T17:57:38.379Z,2026-03-02T17:57:38.379Z,ROI_03311_1
-72.76821561658878,919.48,2026-03-02T17:57:27.207Z,2026-03-02T17:57:27.207Z,ROI_03311_1
