x(degrees),y(eV),Time_TS1(UTC),Time_TS2(UTC),ch_4(ordinal)
-80.92796470057068,202.44,2026-03-02T14:48:29.543Z,2026-03-02T14:48:29.543Z,ROI_03309_1
-80.5688965558075,125.87,2026-03-02T14:48:20.180Z,2026-03-02T14:48:20.180Z,ROI_03309_1
-79.85076026628113,78.268,2026-03-02T14:48:02.949Z,2026-03-02T14:48:02.949Z,ROI_03309_1
-79.22239101294556,66.803,2026-03-02T14:47:48.864Z,2026-03-02T14:47:48.864Z,ROI_03309_1
-78.99797342246856,64.720,2026-03-02T14:47:44.014Z,2026-03-02T14:47:44.014Z,ROI_03309_1
-78.81843935008698,62.702,2026-03-02T14:47:40.133Z,2026-03-02T14:47:40.133Z,ROI_03309_1
-78.1900700967514,68.953,2026-03-02T14:47:27.101Z,2026-03-02T14:47:27.101Z,ROI_03309_1
-78.01053602436981,68.953,2026-03-02T14:47:23.412Z,2026-03-02T14:47:23.412Z,ROI_03309_1
-76.43961289103089,64.720,2026-03-02T14:46:52.593Z,2026-03-02T14:46:52.593Z,ROI_03309_1
-76.1703117824585,36.595,2026-03-02T14:46:47.499Z,2026-03-02T14:46:47.499Z,ROI_03309_1
-75.72147660150452,21.358,2026-03-02T14:46:39.010Z,2026-03-02T14:46:39.010Z,ROI_03309_1
-74.46473809483338,14.149,2026-03-02T14:46:15.810Z,2026-03-02T14:46:15.810Z,ROI_03309_1
-72.80404792530365,14.149,2026-03-02T14:45:45.895Z,2026-03-02T14:45:45.895Z,ROI_03309_1
-71.95126108149108,14.149,2026-03-02T14:45:30.781Z,2026-03-02T14:45:30.781Z,ROI_03309_1
